127.0.0.1 - - [16/Sep/2017:22:27:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:11 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:11 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:12 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:12 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:12 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:13 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:13 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:19 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:19 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14146
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:21 +0200] "GET /Simple-web-forum/SpecificSubforumServlet?subforum=Second%20Life%20is%20a%20good%20game HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:21 +0200] "GET /Simple-web-forum/SpecificSubforum.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:23 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:24 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:24 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:29 +0200] "POST /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:29 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:29 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14207
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:32 +0200] "GET /Simple-web-forum/SpecificSubforumServlet?subforum=Second%20Life%20is%20a%20good%20game HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:27:32 +0200] "GET /Simple-web-forum/SpecificSubforum.jsp HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:28:21 +0200] "GET /Simple-web-forum/SpecificSubforum.jsp HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:28:22 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:28:38 +0200] "GET /Simple-web-forum/AddTopicServlet?AddTopic=Add+Topic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:28:38 +0200] "GET /Simple-web-forum/AddTopic.jsp HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:02 +0200] "POST /Simple-web-forum/AddTopicServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:02 +0200] "GET /Simple-web-forum/SpecificSubforumServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:02 +0200] "GET /Simple-web-forum/SpecificSubforum.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:07 +0200] "GET /Simple-web-forum/SpecificSubforum.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:07 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:10 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2017:22:29:10 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14207
