0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:29:35 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 500 3721
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:29:47 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:29:47 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:30:01 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:30:01 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:30:02 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:30:02 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:16 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:16 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:35 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:35 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:37 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:37 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:42 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:31:42 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:32:06 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:32:07 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:32:20 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:32:20 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:00 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:00 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:25 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:25 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:53 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:34:53 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:35:28 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:35:28 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:24 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:24 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:26 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:26 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:27 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:27 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:27 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:27 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:29 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:29 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:46 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:37:46 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:06 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:06 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:17 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:17 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:18 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:18 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:50 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:38:50 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:39:29 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:39:30 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:40:03 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:40:04 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:41:46 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:41:46 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:42:09 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:42:10 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1890
