127.0.0.1 - - [25/Aug/2017:18:59:12 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:16 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:16 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:25 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:25 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:25 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:25 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:30 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:30 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:31 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:18:59:31 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:40 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:41 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:43 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:43 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:44 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:44 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:44 +0200] "GET /Simple-web-forum/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:19:23:45 +0200] "GET /Simple-web-forum/UserRegistration.jsp HTTP/1.1" 200 2023
