127.0.0.1 - - [02/Sep/2017:15:58:30 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:58:38 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:58:40 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:58:58 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:58:59 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:09 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:10 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:12 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:12 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:14 +0200] "GET /Simple-web-forum/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:14 +0200] "GET /Simple-web-forum/UserRegistration.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:27 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:27 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:34 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:34 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:40 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:41 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:15:59:43 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:04 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:14 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:15 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:18 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:18 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:22 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:31 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:32 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:40 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:40 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:00:54 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:03:32 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:04:35 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:04:35 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:04:39 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:04:39 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:05:47 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:05:48 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:33 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:33 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:51 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:51 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:53 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:16:08:53 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:19 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:20 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:21 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:25 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2017:18:37:25 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2079
