127.0.0.1 - - [09/Sep/2017:21:20:46 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:48 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:48 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:48 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:56 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:56 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:57 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:57 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:58 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:58 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:20:58 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 200 8512
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:02 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:02 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettingsMainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:04 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:04 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14001
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:52 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:52 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:53 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:53 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14001
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:56 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:21:56 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:22:04 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:22:04 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14001
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:22:20 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:22:20 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:23:26 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:23:26 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:23:29 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:23:29 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 14001
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:24:00 +0200] "GET /Simple-web-forum/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:24:00 +0200] "GET /Simple-web-forum/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:24:08 +0200] "POST /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:21:24:08 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 932
